,Geopolitical entity (reporting),TIME_PERIOD,Bribery,Burglary,Corruption,Fraud,Intentional homicide,Kidnapping,Rape,Robbery,Sexual assault,Sexual violence,Theft,Unlawful acts involving controlled drugs or precursors
0,Albania,2014,,152.59,,,50.69,1.035,21.205,153.625,28.965,50.175,4117.95,918.66
1,Albania,2015,,119.49,,,27.93,4.135,36.73,121.055,40.35,77.08,3627.49,1205.37
2,Albania,2016,132.45,78.115,533.945,472.375,36.73,2.065,22.765,82.265,39.32,62.085,2918.585,1685.13
3,Albania,2017,153.66,,597.06,526.695,26.905,1.035,22.245,94.68,36.215,58.465,2636.575,1079.775
4,Albania,2018,141.775,,534.495,486.89,26.39,2.585,21.73,68.815,34.665,56.4,2801.31,996.55
5,Albania,2019,157.83,,688.23,452.265,30.015,2.07,39.845,50.71,39.845,79.69,2500.92,1040.63
6,Albania,2020,83.33,,438.38,413.02,26.915,2.59,33.64,42.44,27.95,75.045,1636.555,1101.385
7,Albania,2021,136.145,386.18,505.765,476.775,31.58,2.07,33.65,41.415,24.33,69.885,1730.05,1639.975
8,Albania,2022,255.84,314.365,611.12,501.845,21.75,2.07,29.52,40.395,42.985,87.525,1272.995,1530.905
9,Albania,2023,161.65,306.72,452.825,,17.615,2.07,25.905,46.11,35.75,69.425,1209.255,1608.715
10,Austria,2014,,43245.955,,,21.755,0.505,588.84,1760.96,1071.955,1802.95,75002.93,14753.415
11,Austria,2015,,40037.46,,,21.245,1.515,571.59,1727.895,1016.215,1759.785,70944.685,16732.86
12,Austria,2016,10.115,40714.69,1593.61,16458.52,24.78,1.01,622.585,1569.33,1426.73,2220.765,72591.335,18325.985
13,Austria,2017,15.17,35024.235,1622.79,17724.765,30.85,1.515,754.505,1319.875,1222.275,2150.74,66609.205,21592.86
14,Austria,2018,12.135,29650.825,1574.145,19144.065,36.915,2.53,842.44,1211.58,1225.74,2237.58,60074.31,20821.87
15,Austria,2019,19.215,27468.61,1596.825,25093.6,37.42,3.035,847.46,1328.835,1193.32,2279.95,58362.96,22130.525
16,Austria,2020,18.71,24490.585,1455.67,27510.64,27.305,1.515,851.46,1080.505,1079.495,2093.76,42842.975,20621.6
17,Austria,2021,28.82,20418.55,1473.815,29024.83,29.83,1.515,930.805,1070.855,1116.865,2201.37,37016.305,17928.99
18,Austria,2022,74.825,25072.16,1559.68,35606.69,32.86,4.55,1038.945,1282.12,1298.3,2511.665,49110.43,17812.195
19,Austria,2023,621.755,29771.94,2276.23,,37.91,3.035,1176.785,1353.705,1417.905,2753.415,55785.55,18064.755
20,Belgium,2014,,48640.68,,,105.94,580.645,1608.255,11062.06,1871.085,3479.345,105153.645,27812.545
21,Belgium,2015,,46288.79,,,116.53,590.71,1629.875,10229.225,1844.77,3474.65,124524.865,26562.795
22,Belgium,2016,48.425,39825.505,2601.8,28044.265,88.275,605.81,1736.72,9421.565,2213.9,3950.62,117279.77,28036.19
23,Belgium,2017,50.44,37906.51,2318.245,29252.945,99.87,590.155,1879.915,8900.22,2475.115,4355.03,112766.21,29383.585
24,Belgium,2018,48.925,35900.215,2385.245,33315.235,96.84,,1950.465,8313.805,2456.36,4406.825,111998.52,30155.25
25,Belgium,2019,50.435,33310.765,2445.665,40990.225,74.14,,2128.925,8219.63,2732.145,4861.065,114693.545,32150.73
26,Belgium,2020,37.825,24034.29,2195.39,48281.92,75.145,,2017.86,6015.255,2788.995,4806.86,79277.105,31215.075
27,Belgium,2021,51.44,23188.965,2480.785,51328.405,79.18,,2325.455,5864.82,3156.585,5482.035,84375.455,28588.795
28,Belgium,2022,45.385,26255.065,2659.7,57251.09,93.295,,2358.125,6755.15,3479.695,5837.82,100710.985,29213.815
29,Belgium,2023,47.905,24902.275,2523.81,,81.69,,2223.275,7108.525,3636.205,5859.475,103374.39,29708.355
30,Bosnia and Herzegovina,2014,,10386.0,,,49.0,3.0,27.0,1025.0,107.0,134.0,5931.0,70.0
31,Bosnia and Herzegovina,2015,,9361.0,,,56.0,0.0,36.0,111.0,24.0,164.0,4874.0,82.0
32,Bosnia and Herzegovina,2016,29.0,7173.0,397.0,222.0,42.0,1.0,27.0,1015.0,29.0,143.0,4491.0,747.0
33,Bosnia and Herzegovina,2017,17.0,5739.0,383.0,,34.0,0.0,25.0,660.0,,158.0,4143.0,767.0
34,Bosnia and Herzegovina,2018,31.0,5207.0,430.0,273.0,36.0,1.0,34.0,,187.0,87.0,3561.0,2810.0
35,Bosnia and Herzegovina,2019,81.0,4823.0,751.0,,37.0,7.0,26.0,660.0,138.0,186.0,3718.0,3300.0
36,Bosnia and Herzegovina,2020,339.0,4680.0,903.0,543.0,42.0,1.0,18.0,520.0,146.0,194.0,3669.0,3756.0
37,Bosnia and Herzegovina,2021,131.0,4200.0,779.0,,31.0,14.0,20.0,416.0,171.0,194.0,3161.0,4125.0
38,Bosnia and Herzegovina,2022,92.0,3820.0,694.0,584.0,34.0,12.0,24.0,405.0,124.0,148.0,3087.0,4102.0
39,Bosnia and Herzegovina,2023,69.0,3511.0,693.0,,35.0,30.0,36.0,267.0,72.0,197.0,2900.0,4799.0
40,Bulgaria,2014,,7769.265,,,56.775,48.155,75.02,1179.05,234.19,309.21,20907.625,1641.85
41,Bulgaria,2015,,6101.05,,,63.875,37.515,60.325,986.51,245.36,305.685,19423.495,2032.84
42,Bulgaria,2016,66.925,5151.52,113.06,1827.695,40.05,35.49,64.39,844.645,,280.87,16592.24,2402.115
43,Bulgaria,2017,70.48,4485.785,118.14,1708.725,48.17,51.72,72.0,789.97,,331.095,20761.785,2529.625
44,Bulgaria,2018,84.685,3886.355,341.275,1445.215,46.65,31.945,57.3,641.47,234.275,291.58,18722.855,2807.26
45,Bulgaria,2019,65.93,3157.47,296.68,1066.52,41.08,36.515,66.435,599.95,240.385,306.82,16822.94,2774.07
46,Bulgaria,2020,59.85,2710.44,246.495,847.52,33.98,41.085,55.285,508.205,232.8,288.085,13712.46,2492.85
47,Bulgaria,2021,51.23,2096.885,286.585,831.35,45.145,35.0,40.58,426.07,236.875,277.455,12394.14,2492.525
48,Bulgaria,2022,53.27,2201.73,270.905,1166.31,38.555,42.105,48.7,457.595,238.945,287.645,14331.54,2717.16
49,Bulgaria,2023,49.76,1694.375,290.435,,37.575,45.19,38.08,456.47,278.755,316.84,13279.31,2889.63
50,Croatia,2014,,7831.16,,,18.425,0.51,171.445,648.93,137.665,309.11,6163.29,1385.37
51,Croatia,2015,,7661.125,,,18.94,0.0,132.055,671.015,177.605,309.66,6933.81,1454.63
52,Croatia,2016,113.65,6349.485,463.3,1948.41,22.525,0.51,162.795,546.745,183.27,367.055,6521.49,5947.105
53,Croatia,2017,98.825,6564.815,389.66,1351.265,23.555,0.0,125.96,442.4,117.77,253.46,6355.905,6047.655
54,Croatia,2018,23.05,5585.82,263.77,1581.61,12.29,0.0,152.115,398.985,124.97,301.675,6243.46,5735.89
55,Croatia,2019,19.98,5548.865,402.13,1689.455,16.905,0.51,241.79,429.28,179.805,439.525,6076.5,5736.355
56,Croatia,2020,31.25,4578.1,275.63,1284.39,20.495,0.51,154.72,323.785,135.765,305.345,5337.36,4721.55
57,Croatia,2021,52.775,3891.07,467.295,1510.52,16.91,1.535,231.085,309.48,201.37,456.535,5290.4,4586.38
58,Croatia,2022,175.425,3670.64,608.865,1789.155,15.9,0.0,183.12,363.165,170.81,368.295,5687.03,4711.405
59,Croatia,2023,58.995,3716.57,442.19,,13.34,0.0,216.48,323.18,184.16,428.855,5781.33,5312.46
60,Cyprus,2014,,1320.88,,,5.585,4.465,9.49,58.06,1.115,10.605,552.69,602.935
61,Cyprus,2015,,1106.325,,,6.71,0.0,11.74,43.605000000000004,0.0,11.74,527.165,519.9
62,Cyprus,2016,21.240000000000002,961.935,22.915,129.675,6.15,0.56,12.295,51.980000000000004,1.12,13.415,408.585,489.63
63,Cyprus,2017,16.755,820.985,17.315,137.39,3.91,5.025,10.61,57.525,0.56,11.17,535.595,524.985
64,Cyprus,2018,8.925,697.3199999999999,9.485,126.635,7.8100000000000005,2.23,15.620000000000001,40.725,0.56,16.18,399.425,637.0699999999999
65,Cyprus,2019,7.8,662.9300000000001,8.355,123.115,7.24,4.455,8.915,30.64,0.555,9.47,357.65,574.91
66,Cyprus,2020,6.12,485.1,7.23,135.74,8.345,1.115,15.575,43.39,1.115,16.69,285.385,470.635
67,Cyprus,2021,6.67,480.21500000000003,6.67,227.88,7.78,1.665,30.57,37.795,4.445,35.015,292.91,465.765
68,Cyprus,2022,12.77,626.34,13.325,265.415,3.885,3.33,31.65,53.305,0.0,31.65,340.38,569.15
69,Cyprus,2023,3.315,602.975,3.87,,5.525,0.0,22.66,34.265,16.03,61.35,428.88,604.635
70,Czechia,2014,,24886.505,,,40.885,7.57,337.68,1285.615,383.615,722.81,52728.86,2825.12
71,Czechia,2015,,17401.575,,,44.42,6.055,301.835,1020.595,414.395,717.745,43088.03,2800.83
72,Czechia,2016,49.465,14243.695,1493.52,4964.6,32.81,9.085,327.575,830.8,367.955,703.1,35949.43,2809.875
73,Czechia,2017,46.435,12177.535,1374.37,4417.365,20.19,8.58,301.825,799.99,405.295,713.685,33362.92,2825.965
74,Czechia,2018,141.825,10675.175,1310.235,4264.315,27.76,6.56,328.57,709.625,396.2,730.825,29999.1,2758.255
75,Czechia,2019,61.575,11184.545,1180.48,4632.595,40.88,6.055,344.705,726.255,436.56,787.325,30205.99,2432.125
76,Czechia,2020,58.04,10427.1,852.395,4013.18,28.765,5.55,322.49,629.835,399.2,733.295,23032.385,2115.095
77,Czechia,2021,47.945,15520.49,704.65,5913.315,23.215,1.01,752.605,620.745,41.39,803.945,13592.29,2117.605
78,Czechia,2022,90.855,17035.46,812.655,8126.545,39.875,2.525,864.645,717.76,45.43,919.66,17552.325,2119.97
79,Czechia,2023,68.63,15636.09,797.8,,34.315,4.035,882.07,726.145,47.94,940.61,17849.85,2183.985
80,Denmark,2014,,35437.25,,,31.55,,425.935,1181.63,779.105,1205.04,127614.71,14296.115
81,Denmark,2015,,32231.095,,,26.46,,534.785,1034.97,793.78,1328.565,114929.4,12625.705
82,Denmark,2016,26.965,30594.84,2668.96,19985.14,26.965,,854.21,1111.64,1075.52,1929.73,114731.155,12048.98
83,Denmark,2017,13.735,27938.685,1890.83,22351.15,31.03,,917.18,1038.76,1522.025,2439.205,108822.605,14082.78
84,Denmark,2018,160.225,27908.54,2458.3,22048.905,27.465,,1127.675,925.23,1690.24,2817.915,92990.655,15345.93
85,Denmark,2019,23.395,24544.075,2573.575,24223.65,27.465,,1043.165,863.625,1446.49,2489.655,86485.855,16760.79
86,Denmark,2020,6.61,19577.04,1969.755,27394.53,25.94,,1106.175,831.54,1624.935,2731.11,72240.715,15878.595
87,Denmark,2021,26.955,15477.055,2429.4,23130.4,21.36,,1351.755,654.52,1874.05,3225.805,63381.01,14578.425
88,Denmark,2022,5.085,16063.415,1770.135,29078.295,30.0,,1439.6,714.97,1761.995,3201.595,74554.605,15900.69
89,Denmark,2023,72.705,15969.215,3645.935,,26.945,,1207.515,674.175,2232.505,3440.025,80581.25,15219.28
90,England and Wales,2014,,205787.775,,,255.445,1096.415,14720.2,25120.355,17488.535,39462.395,670991.46,14094.105
91,England and Wales,2015,,200848.81,,,273.475,1512.12,17981.64,25610.85,20737.91,53360.405,679958.98,13013.535
92,England and Wales,2016,,206397.435,,,338.08,1927.81,20843.795,29717.03,23116.695,61200.095,735011.69,12679.775
93,England and Wales,2017,,219198.66,,,352.6,2267.865,27068.645,38610.315,27950.145,75689.025,787845.005,13309.69
94,England and Wales,2018,,211793.605,,,336.07,2615.93,29378.24,,29579.085,81152.405,797915.01,14938.295
95,Estonia,2014,,,,,22.06,0.0,79.085,193.68,27.975,107.06,8467.03,2179.975
96,Estonia,2015,,,,,26.9,0.0,86.62,181.315,66.175,152.8,6108.755,2680.45
97,Estonia,2016,,,,906.52,17.755,0.0,81.775,133.425,64.02,145.795,4832.275,3041.29
