,Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
12773,Albania,ALB,Gini index,SI.POV.GINI,2008.0,30.0
12782,Austria,AUT,Gini index,SI.POV.GINI,2008.0,30.4
12785,Belgium,BEL,Gini index,SI.POV.GINI,2008.0,28.4
12789,Bulgaria,BGR,Gini index,SI.POV.GINI,2008.0,33.6
12792,Bosnia and Herzegovina,BIH,Gini index,SI.POV.GINI,2008.0,
12805,Switzerland,CHE,Gini index,SI.POV.GINI,2008.0,33.8
12821,Cyprus,CYP,Gini index,SI.POV.GINI,2008.0,31.7
12822,Czechia,CZE,Gini index,SI.POV.GINI,2008.0,26.3
12823,Germany,DEU,Gini index,SI.POV.GINI,2008.0,30.8
12826,Denmark,DNK,Gini index,SI.POV.GINI,2008.0,25.2
12838,Spain,ESP,Gini index,SI.POV.GINI,2008.0,34.2
12839,Estonia,EST,Gini index,SI.POV.GINI,2008.0,31.9
12843,Finland,FIN,Gini index,SI.POV.GINI,2008.0,27.8
12845,France,FRA,Gini index,SI.POV.GINI,2008.0,33.0
12857,Greece,GRC,Gini index,SI.POV.GINI,2008.0,33.6
12867,Croatia,HRV,Gini index,SI.POV.GINI,2008.0,33.7
12869,Hungary,HUN,Gini index,SI.POV.GINI,2008.0,27.5
12879,Ireland,IRL,Gini index,SI.POV.GINI,2008.0,30.9
12882,Iceland,ISL,Gini index,SI.POV.GINI,2008.0,31.8
12884,Italy,ITA,Gini index,SI.POV.GINI,2008.0,33.8
12905,Liechtenstein,LIE,Gini index,SI.POV.GINI,2008.0,
12911,Lithuania,LTU,Gini index,SI.POV.GINI,2008.0,35.7
12912,Luxembourg,LUX,Gini index,SI.POV.GINI,2008.0,32.6
12913,Latvia,LVA,Gini index,SI.POV.GINI,2008.0,37.2
12925,North Macedonia,MKD,Gini index,SI.POV.GINI,2008.0,46.1
12927,Malta,MLT,Gini index,SI.POV.GINI,2008.0,29.0
12930,Montenegro,MNE,Gini index,SI.POV.GINI,2008.0,30.5
12944,Netherlands,NLD,Gini index,SI.POV.GINI,2008.0,29.3
12945,Norway,NOR,Gini index,SI.POV.GINI,2008.0,27.0
12958,Poland,POL,Gini index,SI.POV.GINI,2008.0,33.5
12962,Portugal,PRT,Gini index,SI.POV.GINI,2008.0,36.6
12969,Romania,ROU,Gini index,SI.POV.GINI,2008.0,36.4
12982,Serbia,SRB,Gini index,SI.POV.GINI,2008.0,27.6
12990,Slovenia,SVN,Gini index,SI.POV.GINI,2008.0,23.7
12991,Sweden,SWE,Gini index,SI.POV.GINI,2008.0,28.1
13039,Albania,ALB,Gini index,SI.POV.GINI,2009.0,
